投稿日,タイトル,再生数
2020-11-28,PS5をマスオから借りパクしたら喧嘩になりました。※良い子はマネしないでね,2832187
2020-11-25,ガシャポン2200台を本気で回し続けたら当たりまくりwww【ガシャポンのデパート】,12285359
2020-11-23,【まるお&もふこ】また悪さするんか!!【洗濯部屋編】#Shorts,2531382
2020-11-21,【感動】iPhone 12 miniが小さすぎて鳥肌止まんねぇ…,2487231
2020-11-20,ユニクロから超巨大な謎の箱が届いたので開封します。。。,5665996
2020-11-17,【PS5】プレステ５がキター！開封してテレビ繋いだら画質良すぎ&コントローラー振動ヤバすぎ…【ヒカキンTV】,2972172
2020-11-14,【超激辛】スープが燃えてる炎の激辛ラーメン食べたら大変なことにw【危険】,4017897
2020-11-13,【300万円】ガチの金とダイヤで出来てるプレステのコントローラー購入【PS】,4316886
2020-11-11,iPhone 12 Proを使ってみた感想【レビュー】,1736529
2020-11-11,ニンテンドースイッチ フォートナイト セット開封レビュー！【限定スキン】【ヒカキンTV】【FORTNITE】,1183415
2020-11-10,お腹をモミモミする猫、まるお (もみお) #Shorts,2731991
2020-11-07,マリオカート ライブ ホームサーキット遊んだらまるお暴走w【ヒカキンTV】,8685724
2020-11-06,新iPad Air 4 全カラー開封レビュー！【第４世代 】【ヒカキンTV】,2049246
2020-11-03,【悪質】DMでツイッターの偽物をボコボコにしてみたwww【なりすまし】【ヒカキンTV】,6032237
2020-11-01,セブンの人気パン業務用フライヤーで全種類揚げパンにしたらウマいんじゃね!?【セブンイレブン】【ヒカキンTV】,5555822
2020-10-30,【最強TKG】ツイッターで60万いいね獲得の極上の卵かけご飯作ってみた！【焼きTKG】,3474054
2020-10-27,【崩壊】クレーンゲームでお菓子の山の雪崩を起こすぜ!!!【予算3万円】【ヒカキンTV】,4253473
2020-10-24,【悲報】iPhone12シリーズ全種類プールに水没！全カラー開封レビュー！【iPhone 12 Pro】【ヒカキンTV】,4793613
2020-10-22,『日本一のYouTuber』ってなんなのさ,2162006
2020-10-20,【斉藤さん】ヒカキン×はじめしゃちょーで本人と信じてもらえるまで終われませんwww,6998610
2020-10-18,動く人肉おもちゃの工場に潜入したら完全に事件現場でした…,2249303
2020-10-16,【クレーンゲーム】限定景品取りまくり!? リズム感で決まる光のルーレット【ヒカキンTV】【トライポッド】,4013507
2020-10-13,高級食材で本気のとんかつ作ったら美味すぎて草【ご当地取り寄せグルメ・生産者応援】,2972247
2020-10-09,【謎】変なクレーンゲームやりまくったら意味わからんくて爆笑www【予算3万円】【ヒカキンTV】,4648176
2020-10-07,【ヒカキン炎上】マネージャーに裏の顔を暴露されてしまう…,2266577
2020-10-04,【激辛ラーメン】蒙古タンメン中本を自宅で再現したらウマすぎ辛すぎw【ヒカキン&セイキン】,4459976
2020-10-02,ヴィレヴァンで『この店で値段高いものTOP３全部ください！』って言ったらまさかの事態にwww【高額商品】,5157552
2020-09-30,ブロックされたので本当に許さないことにしました。【悪質な詐欺・偽物・なりすましについて】,6138866
2020-09-26,【ベロベロ】ほろよい何本でほろよい超えるか検証したらまさかの結果にwww,2478284
2020-09-25,アップルウォッチ6を5本開封して5本一気に血中酸素濃度測ってみたwww【Apple Watch Series 6】,1884657
2020-09-22,動く人肉おもちゃがリアル過ぎてキモすぎる件…【50万円】,5324240
2020-09-20,【100の質問】ヒカキン×こじはるでお酒飲みながら100の質問答えたらベロベロwww,2544869
2020-09-16,【第1回】クイズ ヒカキン王！【10問正解で賞金100万円】,2156620
2020-09-13,【韓国料理】自宅で最強に美味いUFOチキンを作って食べる！【ASMR雑音】,3486394
2020-09-11,【放送事故】無限ゲップパウダー6年ぶりリベンジでやらかした！【閲覧注意】,2542193
2020-09-08,1回10円のクレーンゲーム100回やったらアヒルとれすぎてお風呂アヒルまみれwww,4938498
2020-09-06,【崩壊】クレーンゲームでうまい棒が崩れ落ちる!? お菓子取れすぎてヤバいことにw【ヒカキンTV】,8147646
2020-09-04,カラフルなじゃがいもでポテトチップスとフライドポテト作ってみた！【業務用フライヤー】,6632996
2020-08-31,【３万円】超大量の100円玉でクレーンゲーム100回以上やったら何個取れる!?【大量ゲット!?】【アンパンマン】,7731536
2020-08-29,【10万円】松阪牛で家で本気の1人焼肉したら美味すぎて草【ご当地取り寄せグルメ・生産者応援】,7196183
2020-08-28,【フォロワー２億人超え】ケイティ・ペリー×ヒカキンでブンブンハローYouTubeコラボしてみたwww【Katy Perry ×HIKAKIN】,2045972
2020-08-25,【佐藤健×ヒカキン】まるお&もふこをお風呂で２匹同時にシャンプーしたらもはや運動会www,10410708
2020-08-24,10万円分の高級フルーツ全部絞って最強のフルーツミックスジュース作ってみた！,8904110
2020-08-20,マスオにウンコとゲロ食べさせるドッキリwww【合法】,1756686
2020-08-15,【300万円】ディオール×ジョーダン ハイカット&ローカット２足開封！ヒカキンのシューズクローゼット公開！【Dior × NIKE Air Jodan 】,1434240
2020-08-14,【閲覧注意】超虫嫌いな長友さんvsヒカキンで虫食いバトルやったら放送事故www【3本勝負】,2984753
2020-08-08,さよなら、むしお,4805696
2020-08-07,【ヒカキン×こじはる】まるお&もふこ身体測定！【こじキンTV】【小嶋陽菜さんコラボ】,4571641
2020-08-01,さようならマックスむらい。今までありがとう。,2708935
2020-07-31,市川海老蔵vsヒカキンで超高級エビ寿司大食いバトルしたらブチ切れられました…,6130397
2020-07-29,サーティワンのポケモンコラボアイス全種類食べてみたwww【31アイスクリーム】,3093291
2020-07-24,【大量購入】ヒカキン、ハッピーセットデビューで爆買い！金ピカミニオン出るまで終われませんw【マクドナルド】,5254029
2020-07-20,【100個開封!?】キティちゃんチョコエッグヒカキンコラボ第２弾コンプするまで終われません！【ハローキティ】【サンリオ】,4004228
2020-07-18,【超高額!?】ヒカキン、初めて高級アートを購入する【芸術】,1204649
2020-07-16,【200万円】ゲーム生配信専用部屋一気に作るよー！【ゲーミングチェア・デスク・機材紹介】,5299882
2020-07-11,【超高級】1箱30万のさくらんぼひと口で食べてみた！【大食い】,2289551
2020-07-10,ヒカキン家に新しい家族がやってきました。,4579762
2020-07-08,20kgのチョコの沼に10万円分の高級フルーツ沈めてみたw【チョコバナナ!?】,14439373
2020-07-04,みんな、ありがとう。,3069953
2020-07-02,さよならババア,8967928
2020-06-27,過去一ヤバい高級時計一気に２本購入したので開封！【ヒカキン時計コレクション紹介】,1823444
2020-06-26,まるお&もふこを超高画質カメラで撮影してみたら感動。。。【ZV-1】【YouTuber専用カメラ】,2421018
2020-06-24,【マック+モス+ロッテリア】てりやきバーガー３つ合体させて最強にして食べて夢実現w【ウーバーイーツ】,1615401
2020-06-22,セブンのおにぎり沢山混ぜて炒めれば超美味いチャーハン出来るに違いない！【料理動画】【ヒカキンTV】,2495477
2020-06-20,【入手困難】ユニクロのエアリズムマスク開封レビュー！【売り切れ続出】,1875410
